loser,winner,result,year,link
Taylor Wily,Gerard Gordeau,win,1993,No link available
Zane Frazier,Kevin Rosier,win,1993,No link available
Art Jimmerson,Royce Gracie,win,1993,No link available
Patrick Smith,Ken Shamrock,win,1993,No link available
Kevin Rosier,Gerard Gordeau,win,1993,No link available
Ken Shamrock,Royce Gracie,win,1993,No link available
Trent Jenkins,Jason DeLucia,win,1993,No link available
Gerard Gordeau,Royce Gracie,win,1993,No link available
Sean Daugherty,Scott Morris,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Ray Wizard,Patrick Smith,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
David Levicki,Johnny Rhodes,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Thaddeus Luster,Frank Hamaker,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Robert Lucarelli,Orlando Wiet,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Alberta Cerra Leon,Remco Pardoel,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Scott Baker,Jason DeLucia,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Minoki Ichihara,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Scott Morris,Patrick Smith,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Fred Ettish,Johnny Rhodes,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Orlando Wiet,Remco Pardoel,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Jason DeLucia,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Johnny Rhodes,Patrick Smith,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Remco Pardoel,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Patrick Smith,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
Emmanuel Yarborough,Keith Hackney,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Christophe Leninger,Ken Shamrock,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Roland Payne,Harold Howard,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
Kimo Leopoldo,Royce Gracie,win,1994,http://www.ufcstats.com/event-details/1a49e0670dfaca31
